min_len,precision,recall,F1,stdPrecision,stdRecall,stdF1,overlap,stdOverlap,avgShift,stdShift
8,0.7114,0.8361,0.7495,0.1449,0.1261,0.1197,0.5201,0.1513,-0.2129,0.0058
9,0.7166,0.816,0.7426,0.145,0.1367,0.1208,0.5192,0.157,-0.2129,0.0058
10,0.7232,0.7944,0.736,0.1445,0.143,0.1203,0.5181,0.1613,-0.2129,0.0058
11,0.7299,0.7677,0.7281,0.1465,0.1446,0.125,0.5165,0.166,-0.2129,0.0058
12,0.7341,0.7442,0.7191,0.1471,0.1495,0.1284,0.5144,0.1696,-0.2129,0.0058
13,0.7371,0.7233,0.7093,0.1476,0.1561,0.1315,0.5125,0.1734,-0.2129,0.0058
14,0.7397,0.7026,0.699,0.1471,0.1627,0.1344,0.5085,0.1758,-0.2139,0.0057
