frame,precision,recall,F1,stdPrecision,stdRecall,stdF1,overlap,stdOverlap,avgShift,stdShift
0.3,0.7274,0.7656,0.7258,0.1459,0.1456,0.1252,0.5294,0.1786,-0.199,0.0032
0.2,0.6503,0.824,0.7101,0.1379,0.1138,0.12,0.5125,0.1825,-0.199,0.0032
0.4,0.7687,0.68,0.6975,0.1467,0.1769,0.1414,0.5322,0.1746,-0.1971,0.0069
0.5,0.7978,0.5439,0.6172,0.1464,0.2002,0.1682,0.5304,0.1708,-0.1952,0.0111
