energy,precision,recall,F1,stdPrecision,stdRecall,stdF1,overlap,stdOverlap,avgShift,stdShift
30,0.6897,0.7824,0.7148,0.141,0.1331,0.1215,0.515,0.1816,-0.199,0.0032
60,0.667,0.7917,0.7064,0.1349,0.1293,0.1177,0.4943,0.1718,-0.199,0.0032
90,0.6581,0.7958,0.7033,0.133,0.1279,0.1168,0.4832,0.1681,-0.199,0.0032
120,0.6519,0.7985,0.7011,0.1317,0.1258,0.1157,0.4751,0.1656,-0.199,0.0032
150,0.6476,0.8003,0.6994,0.1303,0.1249,0.1146,0.4663,0.1598,-0.199,0.0032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
