energy,precision,recall,F1,stdPrecision,stdRecall,stdF1,overlap,stdOverlap,avgShift,stdShift
15,0.6744,0.7841,0.7057,0.1486,0.139,0.1235,0.5194,0.1771,-0.1942,0.0111
14,0.6745,0.7836,0.7053,0.1494,0.1398,0.1236,0.5198,0.1768,-0.1942,0.0111
13,0.6749,0.7824,0.7048,0.1496,0.1411,0.1236,0.5203,0.1764,-0.1942,0.0111
12,0.675,0.7814,0.7043,0.1492,0.1419,0.123,0.5212,0.1759,-0.1942,0.0111
11,0.6755,0.7795,0.7036,0.1498,0.1432,0.1234,0.5219,0.1756,-0.1942,0.0111
10,0.6761,0.7779,0.7029,0.151,0.1451,0.1244,0.5225,0.1754,-0.1942,0.0111
9,0.6769,0.7767,0.7024,0.1525,0.146,0.1252,0.5232,0.1745,-0.1932,0.0111
8,0.6767,0.7747,0.7012,0.1537,0.1469,0.1254,0.5187,0.1839,-0.1913,0.0117
7,0.6758,0.7726,0.6995,0.1542,0.1484,0.1254,0.5198,0.1836,-0.1913,0.0117
