onset,precision,recall,F1,stdPrecision,stdRecall,stdF1,overlap,stdOverlap,avgShift,stdShift
0.7,0.7752,0.7616,0.7473,0.1488,0.1443,0.1166,0.5015,0.1892,-0.1874,0.012
0.6,0.7413,0.7817,0.7398,0.1511,0.1443,0.1209,0.5115,0.1891,-0.1894,0.012
0.8,0.7768,0.7086,0.7218,0.1399,0.1431,0.1108,0.4878,0.192,-0.1797,0.0084
0.5,0.6755,0.7795,0.7036,0.1498,0.1432,0.1234,0.5219,0.1756,-0.1942,0.0111
0.9,0.7388,0.5856,0.6384,0.127,0.1242,0.1019,0.4577,0.1749,-0.171,0.0075
0.4,0.5799,0.7569,0.6379,0.1493,0.1465,0.1287,0.5178,0.1909,-0.1942,0.0111
0.3,0.4674,0.7175,0.5483,0.1538,0.1522,0.1404,0.4955,0.184,-0.1884,0.0171
