frame,precision,recall,F1,stdPrecision,stdRecall,stdF1,overlap,stdOverlap,avgShift,stdShift
0.3,0.6755,0.7795,0.7036,0.1498,0.1432,0.1234,0.5219,0.1756,-0.1942,0.0111
0.4,0.7239,0.6897,0.683,0.1512,0.175,0.1384,0.5363,0.1778,-0.1961,0.0072
0.2,0.5659,0.8456,0.6609,0.1362,0.11,0.1168,0.4911,0.1927,-0.1845,0.0145
0.5,0.7503,0.5478,0.6057,0.1538,0.1999,0.1672,0.5395,0.1613,-0.1971,0.0069
