onset,precision,recall,F1,stdPrecision,stdRecall,stdF1,overlap,stdOverlap,avgShift,stdShift
0.6,0.8235,0.7551,0.7663,0.1525,0.1464,0.1261,0.5175,0.1866,-0.1971,0.0069
0.7,0.8932,0.6999,0.7638,0.1516,0.1437,0.1221,0.5062,0.1963,-0.1923,0.0087
0.5,0.7274,0.7656,0.7258,0.1459,0.1456,0.1252,0.5294,0.1786,-0.199,0.0032
0.8,0.9423,0.5641,0.6845,0.1302,0.1526,0.1258,0.4954,0.1954,-0.1942,0.0089
0.4,0.607,0.7469,0.6514,0.144,0.1482,0.1273,0.52,0.1792,-0.1971,0.0096
0.3,0.4763,0.7076,0.5521,0.1515,0.1545,0.1395,0.5054,0.1778,-0.1942,0.013
0.9,0.977,0.237,0.362,0.072,0.1321,0.1636,0.4771,0.1776,-0.199,0.0032
