fileIndex,precision,recall,F1,overlap,shift
0,0.8171,0.871,0.8432,0.7515,-0.2187
1,0.638,0.8778,0.739,0.5752,-0.2071
2,0.7972,0.9192,0.8538,0.6197,-0.2071
3,0.838,0.5374,0.6548,0.2563,-0.2071
4,0.7887,0.6583,0.7177,0.3816,-0.2187
5,0.8651,0.9468,0.9041,0.3677,-0.1723
6,0.7444,0.8342,0.7867,0.404,-0.2187
7,0.6563,0.7897,0.7168,0.5195,-0.2071
8,0.5974,0.8935,0.7161,0.474,-0.1839
9,0.7924,0.7692,0.7806,0.3327,-0.1955
10,0.7974,0.988,0.8826,0.7479,-0.1955
11,0.2994,0.9774,0.4584,0.6662,-0.2187
