fileIndex,precision,recall,F1,overlap,shift
0,0.9493,0.6734,0.7879,0.7752,-0.2187
1,0.917,0.7964,0.8524,0.5947,-0.2071
2,0.9419,0.7773,0.8517,0.6193,-0.2071
3,0.9414,0.38,0.5414,0.2062,-0.2187
4,0.9631,0.4982,0.6567,0.3306,-0.2071
5,0.9431,0.8221,0.8785,0.4618,-0.1955
6,0.9344,0.6715,0.7814,0.3919,-0.1955
7,0.9464,0.6604,0.778,0.5472,-0.1955
8,0.8907,0.8141,0.8507,0.4518,-0.1839
9,0.9344,0.6039,0.7336,0.3016,-0.1955
10,0.9652,0.8845,0.9231,0.7366,-0.1839
11,0.3943,0.8189,0.5323,0.6739,-0.2187
