fileIndex,precision,recall,F1,overlap,shift
0,0.9253,0.6549,0.7669,0.7716,-0.2071
1,0.8008,0.6789,0.7348,0.6153,-0.1839
2,0.9347,0.6491,0.7662,0.6369,-0.1955
3,0.9337,0.2422,0.3846,0.1606,-0.1839
4,0.7972,0.3292,0.4659,0.353,-0.2071
5,0.9709,0.5039,0.6635,0.3892,-0.1723
6,0.836,0.5603,0.6709,0.3791,-0.1955
7,0.7363,0.5847,0.6518,0.5428,-0.1955
8,0.781,0.732,0.7557,0.466,-0.1955
9,0.9026,0.4383,0.59,0.2862,-0.1723
10,0.9184,0.8964,0.9073,0.7351,-0.1955
11,0.4477,0.6629,0.5345,0.713,-0.1955
