fileIndex,precision,recall,F1,overlap,shift
0,0.9827,0.4514,0.6186,0.7754,-0.2187
1,0.9767,0.6168,0.7561,0.5921,-0.2071
2,0.9988,0.5434,0.7038,0.6193,-0.2071
3,0.9838,0.2032,0.3369,0.1919,-0.2187
4,1.0,0.2403,0.3874,0.3243,-0.2187
5,0.9856,0.4561,0.6237,0.4536,-0.2187
6,0.9863,0.4535,0.6213,0.3678,-0.2187
7,0.9894,0.4162,0.5859,0.5347,-0.2071
8,0.9777,0.647,0.7787,0.4752,-0.1839
9,0.9897,0.3665,0.5349,0.3001,-0.1839
10,0.9946,0.7331,0.844,0.7379,-0.2071
11,0.4949,0.605,0.5444,0.6505,-0.2187
