fileIndex,precision,recall,F1,overlap,shift
0,0.8701,0.814,0.8411,0.7625,-0.2187
1,0.8105,0.8625,0.8357,0.5799,-0.2071
2,0.8542,0.889,0.8712,0.6232,-0.2071
3,0.8741,0.5257,0.6565,0.2537,-0.2187
4,0.9103,0.626,0.7418,0.3503,-0.1839
5,0.8778,0.9383,0.907,0.4657,-0.2187
6,0.853,0.8128,0.8324,0.4048,-0.2187
7,0.8548,0.7504,0.7992,0.5272,-0.1955
8,0.7727,0.8798,0.8228,0.4604,-0.2071
9,0.8624,0.7379,0.7953,0.3311,-0.1955
10,0.8974,0.9761,0.9351,0.7493,-0.1955
11,0.3206,0.9711,0.482,0.6676,-0.2187
